year,X0,Coordinates0,Latitude0,Longitude0,freq
1990,"'Kahnawake Reservation',Canada","Reserve, Hudson Bay No 394, Saskatchewan",52.47066,-102.64685,1
1990,"'Kampala',Uganda",Kampala,0.31589,32.57501,1
1990,"'Karachi',Pakistan","Karachi, Karāchi District, Sindh",24.9056,67.0822,2
1990,"'Kardzali',Bulgaria",Kardzhali,41.63872,25.37628,1
1990,"'Kareli Soviet Georgia',USSR",Kareli,42.02252,43.90074,1
1990,"'Kashgar',China","Kashgar, Xinjiang Uygur Zizhiqu",39.45472,75.97972,1
1990,"'Kathmandu',Nepal","Kathmandu, Bagmati",27.69329,85.32227,8
1990,"'Katlehong',South Africa","Katlehong, Ekurhuleni, Gauteng",-26.34851,28.17023,1
1990,"'Katmandu',Nepal","Katmandu, Bagmati",27.69329,85.32227,2
1990,"'Kharkov',USSR",Khar'kov,49.98333,36.21667,1
1990,"'Kiev',USSR",Ussr,51.46982,-0.35661,5
1990,"'Kinshasa',Congo Kinshasa","Kinshasa, Sembé, Sangha",1.99774,14.78264,1
1990,"'Kirtipur',Nepal","Kirtipur, Bagmati",27.67872,85.27266,1
1990,"'Kishinev',USSR",,NA,NA,2
1990,"'Kundiawa',Papua New Guinea","Kundiawa, Chimbu",-6.01667,144.96667,1
1990,"'Kurdzhali',Bulgaria","Kurdzhali, Kŭrdzhali",41.58333,25.46667,2
1990,"'Kurukshetra',India","Thānesar, Haryana",29.97415,76.83201,1
1990,"'Kwangju',South Korea",Kwangju,37.48219,127.23408,6
1990,"'Lahore',Pakistan","Lahore, Punjab",31.54972,74.34361,2
1990,"'Lambeth',United Kingdom","Lambeth, Greater London, England",51.49671651,-0.117058025,1
1990,"'Lazdijai',USSR",,NA,NA,1
1990,"'Leipzig',Germany East","Leipzig, Sachsen",51.3452,12.38594,2
1990,"'Leningrad',USSR",Leningrad,56.86773,35.91362,1
1990,"'Leopoldov Prison Slovakia',Czechoslovakia","Leopoldov, Hlohovec",48.4469,17.76558,1
1990,"'Libreville',Gabon","Libreville, Estuaire",0.39324,9.44633,4
1990,"'Lilongwe',Malawi","Lilongwe, Central Region",-13.98557,33.77027,1
1990,"'Lima',Peru",Perú,-11.94138,-77.04546,3
1990,"'Lipljani',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'Loire',France","Loire, Auvergne-Rhône-Alpes",45.72801158,4.164530269,1
1990,"'Loire Valley',France","Route de la Loire, 44330, Vallet, Loire-Atlantique, Pays de la Loire",47.16619974,-1.271932236,1
1990,"'Lome',Togo","Lomé, Maritime",6.13969,1.22958,1
1990,"'London',United Kingdom","London, Greater London, England",51.50740836,-0.127698693,8
1990,"'Lusaka',Zambia",Lusaka,-15.42561,28.27873,1
1990,"'Madrid',Spain","Madrid, Comunidad de Madrid",40.41955,-3.69196,2
1990,"'Maidenhead',United Kingdom","Maidenhead, Berkshire, England",51.52275237,-0.720192639,1
1990,"'Mamelodi Township',South Africa","Mamelodi, Tshwane, Gauteng",-25.72355,28.41089,1
1990,"'Managua',Nicaragua",Managua,12.1172,-86.24081,2
1990,"'Mandalay',Myanmar",Mandalay,21.97473,96.08359,2
1990,"'Manila',Philippines","Manila, First District NCR, National Capital Region",14.60487,120.98627,5
1990,"'Maputo',Mozambique","Maputo, Maputo City",-25.97456,32.57327,2
1990,"'Maracay',Venezuela","Maracay, Girardot, Aragua",10.23855,-67.57077,1
1990,"'Maradi',Niger","Maradi, Madarounfa, Maradi",13.50082,7.10303,1
1990,"'Mbabane',Swaziland","Mbabane, Hhohho",-26.32603,31.1411,1
1990,"'Mexico City',Mexico",MEX,19.4347,-99.08476,1
1990,"'Michoacan',Mexico","México, Jacona, Michoacán de Ocampo",19.94371,-102.31828,1
1990,"'Mogadishu',Somalia","Mogadishu, Banaadir",2.03812,45.34157,3
1990,"'Monrovia',Liberia","Monrovia, Greater Monrovia, Montserrado",6.31672,-10.80213,1
1990,"'Montreal',Canada","Montréal, Québec",45.5124,-73.55469,4
1990,"'Moron',Mongolia","Moron, Tunel, Khovsgol",49.63686,100.16572,1
1990,"'Moroni',Comoros","Moroni, Grande Comore",-11.69221,43.25918,2
1990,"'Moscow',USSR",Moscow,55.87737,37.70001,9
1990,"'Mukalla',Yemen","Mukalla, Al Mukalla City, Ḩaḑramawt",14.54248,49.12424,2
1990,"'Nairobi',Kenya",Nairobi,-1.28352,36.82379,5
1990,"'Nakhichevan',USSR",Nakhichevan,48.48574,35.12837,1
1990,"'Namangan',Uzbekistan",Namangan,40.99747,71.24784,1
1990,"'National',Honduras","La Nacional, Olancho",15.05,-86.46667,2
1990,"'National',Hungary",Hungary,47.16708877,19.4245317,1
1990,"'National',South Africa",National,-23.90833,29.45685,2
1990,"'National',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'New Delhi',India",India,28.56788,77.18912,3
1990,"'Niamey',Niger",Niamey,13.51627,2.11633,3
1990,"'Nicosia',Cyprus",Cyprus,35,33,1
1990,"'Nile Delta',Egypt",Nile Delta,31,31,1
1990,"'Notingham',United Kingdom","Nottingham, Nottinghamshire, England",52.95621589,-1.15120109,1
1990,"'Osaka',Japan",Japan,34.66429241,135.510937,2
1990,"'Oxford',United Kingdom","Oxford, Oxfordshire, England",51.75198266,-1.257628623,1
1990,"'Oxfordshire',United Kingdom","Oxfordshire, England",51.76571771,-1.322257515,1
1990,"'Paju',South Korea","P'aju, Gyeonggi",37.83278,126.81694,1
1990,"'Panama City',Panama","Panama, Panamá",8.95239,-79.5354,1
1990,"'Paramaribo',Suriname",Suriname,5.83058,-55.14325,3
1990,"'Paris',France","Paris, Île-de-France",48.85717,2.3414,7
1990,"'Parkent',Uzbekistan","Parkent, Parkent tumani, Toshkent viloyati",41.29682,69.66754,1
1990,"'Patan',Nepal",Pātan,27.67658,85.31417,2
1990,"'Pec',Yugoslavia",Yugoslavia,-17.41638,-66.1587,1
1990,"'Petrinka',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'Petrova Gora',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'Ploiesti',Romania","Ploiești, Prahova",44.94071,26.02328,1
1990,"'Plymouth',United Kingdom","Plymouth, Devon, England",50.37000043,-4.142097256,1
1990,"'Podujevo',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,2
1990,"'Poole',United Kingdom","Poole, Dorset, England",50.71892129,-1.979825936,1
1990,"'Port',Haiti","Port-au-Prince, Haiti",18.547327,-72.3395928,1
1990,"'Port Elizabeth',South Africa","Port Elizabeth, Nelson Mandela Bay, Eastern Cape",-33.96238,25.62326,1
1990,"'Port Gentil',Gabon","Port-Gentil, Bendjé, Ogooué-Maritime",-0.72105,8.75494,2
1990,"'Port Moresby',Papua New Guinea","Port Moresby, Central Province",-9.45507,147.20381,1
1990,"'Prague',Czechoslovakia",Favorit Czechoslovakia,50.07688,14.44234,1
1990,"'Pristina',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,6
1990,"'Pristina Vucitrn',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'Quito',Ecuador",Quito,-0.20565,-78.50888,1
1990,"'Rajshahi',Bangladesh",Bangladesh,24.03342,89.38411,1
1990,"'Rammulotsi Township',South Africa","Rammulotsi, Fezile Dabi, Free State",-27.18797,26.95392,2
1990,"'Rangoon',Myanmar","Rangoon, Yangon",16.80528,96.15611,1
1990,"'Rouen',France","Rouen, Seine-Maritime, Normandie",49.44014,1.0894,1
1990,"'Ruzomberok',Czechoslovakia",Ružomberok,49.073,19.30266,1
1990,"'Samtredia',Georgia",Samtredia,42.16436,42.35234,1
1990,"'Samtredia',USSR",Samtredia East,42.17889,42.48194,1
1990,"'San Vicente',Argentina","San Vicente, Buenos Aires",-35.02414,-58.42365,1
1990,"'Sana',Yemen",Sana,15.3667,44.21122,1
1990,"'Santiago Atitlan',Guatemala","Santiago Atitlán, Sololá",14.6384947,-91.23002491,1
1990,"'Santo Domingo',Dominican Republic",Santo Domingo,18.47185,-69.89139,2
1990,"'Sao Paulo',Brazil",Brazil,-23.52051,-46.59286,2
1990,"'Sebokeng',South Africa","Sebokeng, Sedibeng, Gauteng",-26.58097,27.85709,1
1990,"'Seoul',South Korea",Seoul,37.56826,126.97783,13
1990,"'Sibiu',Romania",Sibiu,45.79174,24.14757,1
1990,"'Sicilian',Italy",Sicilian,45.47022,9.18655,1
